year,age_group,gender,education_level,income_bracket,population_count
2009,18 to 64,Male,High school or equivalent,1500024999,503750.0
2009,18 to 64,Male,High school or equivalent,2500034999,440200.0
2009,18 to 64,Male,High school or equivalent,3500049999,481130.0
2009,18 to 64,Male,High school or equivalent,5000074999,350784.0
2009,18 to 64,Male,High school or equivalent,75000,190948.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",,212039.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",50009999,235730.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",1000014999,288174.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",1500024999,392488.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",2500034999,375408.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",3500049999,486983.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",5000074999,584200.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",75000,521502.0
2009,18 to 64,Male,Bachelor's degree or higher,,88688.0
2009,18 to 64,Male,Bachelor's degree or higher,50009999,70367.0
2009,18 to 64,Male,Bachelor's degree or higher,1000014999,84122.0
2009,18 to 64,Male,Bachelor's degree or higher,1500024999,201713.0
2009,18 to 64,Male,Bachelor's degree or higher,2500034999,251200.0
2009,18 to 64,Male,Bachelor's degree or higher,3500049999,366170.0
2009,18 to 64,Male,Bachelor's degree or higher,5000074999,682775.0
2009,18 to 64,Male,Bachelor's degree or higher,75000,1497839.0
2009,18 to 64,Female,No high school diploma,,654156.0
2009,18 to 64,Female,No high school diploma,50009999,248027.0
2009,18 to 64,Female,No high school diploma,1000014999,255296.0
2009,18 to 64,Female,No high school diploma,1500024999,359624.0
2009,18 to 64,Female,No high school diploma,2500034999,86580.0
2009,18 to 64,Female,No high school diploma,3500049999,30741.0
2009,18 to 64,Female,No high school diploma,5000074999,24592.0
2009,18 to 64,Female,No high school diploma,75000,10943.0
2009,18 to 64,Female,High school or equivalent,,519946.0
2009,18 to 64,Female,High school or equivalent,50009999,234527.0
2009,18 to 64,Female,High school or equivalent,1000014999,221787.0
2009,18 to 64,Female,High school or equivalent,1500024999,450205.0
2009,18 to 64,Female,High school or equivalent,2500034999,318602.0
2009,18 to 64,Female,High school or equivalent,3500049999,234705.0
2009,18 to 64,Female,High school or equivalent,5000074999,134763.0
2009,18 to 64,Female,High school or equivalent,75000,57292.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",,387007.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",50009999,345944.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",1000014999,370518.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",1500024999,647024.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",2500034999,454455.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",3500049999,459975.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",5000074999,347119.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",75000,200198.0
2009,18 to 64,Female,Bachelor's degree or higher,,243154.0
2009,18 to 64,Female,Bachelor's degree or higher,50009999,160748.0
2009,18 to 64,Female,Bachelor's degree or higher,1000014999,136360.0
2009,18 to 64,Female,Bachelor's degree or higher,1500024999,311511.0
2009,18 to 64,Female,Bachelor's degree or higher,2500034999,320129.0
2009,18 to 64,Female,Bachelor's degree or higher,3500049999,495664.0
2009,18 to 64,Female,Bachelor's degree or higher,5000074999,767013.0
2009,18 to 64,Female,Bachelor's degree or higher,75000,682401.0
2009,65 to 80+,Male,No high school diploma,,18196.0
2009,65 to 80+,Male,No high school diploma,50009999,71415.0
2009,65 to 80+,Male,No high school diploma,1000014999,98666.0
2009,65 to 80+,Male,No high school diploma,1500024999,72908.0
2009,65 to 80+,Male,No high school diploma,2500034999,41437.0
2009,65 to 80+,Male,No high school diploma,3500049999,24599.0
2009,65 to 80+,Male,No high school diploma,5000074999,18475.0
2009,65 to 80+,Male,No high school diploma,75000,2915.0
2009,65 to 80+,Male,High school or equivalent,,11528.0
2009,65 to 80+,Male,High school or equivalent,50009999,37770.0
2009,65 to 80+,Male,High school or equivalent,1000014999,71193.0
2009,65 to 80+,Male,High school or equivalent,1500024999,64082.0
2009,65 to 80+,Male,High school or equivalent,2500034999,50987.0
2009,65 to 80+,Male,High school or equivalent,3500049999,59302.0
2009,65 to 80+,Male,High school or equivalent,5000074999,35227.0
2009,65 to 80+,Male,High school or equivalent,75000,23963.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",,17061.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",50009999,23224.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",1000014999,30456.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",1500024999,88779.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",2500034999,55910.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",3500049999,69546.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",5000074999,39410.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",75000,58478.0
2009,65 to 80+,Male,Bachelor's degree or higher,,6660.0
2009,65 to 80+,Male,Bachelor's degree or higher,50009999,34492.0
2009,65 to 80+,Male,Bachelor's degree or higher,1000014999,36484.0
2009,65 to 80+,Male,Bachelor's degree or higher,1500024999,52607.0
2009,65 to 80+,Male,Bachelor's degree or higher,2500034999,76215.0
2009,65 to 80+,Male,Bachelor's degree or higher,3500049999,77792.0
2009,65 to 80+,Male,Bachelor's degree or higher,5000074999,109490.0
2009,65 to 80+,Male,Bachelor's degree or higher,75000,212440.0
2009,65 to 80+,Female,No high school diploma,,73024.0
2009,65 to 80+,Female,No high school diploma,50009999,178289.0
2009,65 to 80+,Female,No high school diploma,1000014999,149933.0
2009,65 to 80+,Female,No high school diploma,1500024999,64958.0
2009,65 to 80+,Female,No high school diploma,2500034999,20186.0
2009,65 to 80+,Female,No high school diploma,3500049999,4060.0
2009,65 to 80+,Female,No high school diploma,5000074999,7703.0
2009,65 to 80+,Female,No high school diploma,75000,1398.0
2009,65 to 80+,Female,High school or equivalent,,43907.0
2009,65 to 80+,Female,High school or equivalent,50009999,116176.0
2009,65 to 80+,Female,High school or equivalent,1000014999,151357.0
2009,65 to 80+,Female,High school or equivalent,1500024999,152036.0
2009,65 to 80+,Female,High school or equivalent,2500034999,58811.0
2009,65 to 80+,Female,High school or equivalent,3500049999,27349.0
2009,65 to 80+,Female,High school or equivalent,5000074999,42710.0
2009,65 to 80+,Female,High school or equivalent,75000,19659.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",,12106.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",50009999,75617.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",1000014999,89119.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",1500024999,140082.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",2500034999,81764.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",3500049999,59529.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",5000074999,57036.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",75000,33358.0
2009,65 to 80+,Female,Bachelor's degree or higher,,10741.0
2009,65 to 80+,Female,Bachelor's degree or higher,50009999,57811.0
2009,65 to 80+,Female,Bachelor's degree or higher,1000014999,70495.0
2009,65 to 80+,Female,Bachelor's degree or higher,1500024999,85667.0
2009,65 to 80+,Female,Bachelor's degree or higher,2500034999,58901.0
2009,65 to 80+,Female,Bachelor's degree or higher,3500049999,68234.0
2009,65 to 80+,Female,Bachelor's degree or higher,5000074999,61489.0
2009,65 to 80+,Female,Bachelor's degree or higher,75000,57029.0
2010,00 to 17,Male,Children under 15,,
2010,00 to 17,Male,No high school diploma,,596761.0
2010,00 to 17,Male,No high school diploma,50009999,21116.0
2010,00 to 17,Male,No high school diploma,1000014999,5345.0
2010,00 to 17,Male,No high school diploma,1500024999,9139.0
2010,00 to 17,Male,No high school diploma,3500049999,3642.0
2010,00 to 17,Male,High school or equivalent,,
2010,00 to 17,Male,High school or equivalent,1000014999,1817.0
2010,00 to 17,Male,"Some college, less than 4-yr degree",,
2010,00 to 17,Male,"Some college, less than 4-yr degree",50009999,2683.0
2010,00 to 17,Male,"Some college, less than 4-yr degree",1500024999,1434.0
2010,00 to 17,Male,"Some college, less than 4-yr degree",2500034999,1447.0
2010,00 to 17,Male,Bachelor's degree or higher,,
2010,00 to 17,Male,Bachelor's degree or higher,75000,1192.0
2010,00 to 17,Female,Children under 15,,
2010,00 to 17,Female,No high school diploma,,610512.0
2010,00 to 17,Female,No high school diploma,50009999,24781.0
2010,00 to 17,Female,No high school diploma,1000014999,6967.0
2010,00 to 17,Female,No high school diploma,1500024999,6386.0
2010,00 to 17,Female,High school or equivalent,,5811.0
2010,00 to 17,Female,High school or equivalent,50009999,3641.0
2010,00 to 17,Female,High school or equivalent,1000014999,1660.0
2010,00 to 17,Female,High school or equivalent,2500034999,1048.0
2010,00 to 17,Female,"Some college, less than 4-yr degree",1500024999,
2010,00 to 17,Female,Bachelor's degree or higher,,2879.0
2010,18 to 64,Male,No high school diploma,,369566.0
2010,18 to 64,Male,No high school diploma,50009999,226209.0
2010,18 to 64,Male,No high school diploma,1000014999,295536.0
2010,18 to 64,Male,No high school diploma,1500024999,535027.0
2010,18 to 64,Male,No high school diploma,2500034999,244978.0
2010,18 to 64,Male,No high school diploma,3500049999,192622.0
2010,18 to 64,Male,No high school diploma,5000074999,93885.0
2010,18 to 64,Male,No high school diploma,75000,38266.0
2010,18 to 64,Male,High school or equivalent,,345253.0
2010,18 to 64,Male,High school or equivalent,50009999,190829.0
2010,18 to 64,Male,High school or equivalent,1000014999,209509.0
2010,18 to 64,Male,High school or equivalent,1500024999,533513.0
2010,18 to 64,Male,High school or equivalent,2500034999,412122.0
2010,18 to 64,Male,High school or equivalent,3500049999,470369.0
2010,18 to 64,Male,High school or equivalent,5000074999,339017.0
2010,18 to 64,Male,High school or equivalent,75000,215851.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",,310460.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",50009999,220408.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",1000014999,234677.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",1500024999,356706.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",2500034999,374227.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",3500049999,474116.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",5000074999,581119.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",75000,441967.0
2010,18 to 64,Male,Bachelor's degree or higher,,108052.0
2010,18 to 64,Male,Bachelor's degree or higher,50009999,79453.0
2010,18 to 64,Male,Bachelor's degree or higher,1000014999,127848.0
2010,18 to 64,Male,Bachelor's degree or higher,1500024999,234951.0
2010,18 to 64,Male,Bachelor's degree or higher,2500034999,239971.0
2010,18 to 64,Male,Bachelor's degree or higher,3500049999,408505.0
2010,18 to 64,Male,Bachelor's degree or higher,5000074999,624308.0
2010,18 to 64,Male,Bachelor's degree or higher,75000,1424758.0
2010,18 to 64,Female,No high school diploma,,666858.0
2010,18 to 64,Female,No high school diploma,50009999,236424.0
2010,18 to 64,Female,No high school diploma,1000014999,253247.0
2010,18 to 64,Female,No high school diploma,1500024999,287963.0
2010,18 to 64,Female,No high school diploma,2500034999,107504.0
2010,18 to 64,Female,No high school diploma,3500049999,35129.0
2010,18 to 64,Female,No high school diploma,5000074999,18515.0
2010,18 to 64,Female,No high school diploma,75000,15038.0
2010,18 to 64,Female,High school or equivalent,,496567.0
2010,18 to 64,Female,High school or equivalent,50009999,252271.0
2010,18 to 64,Female,High school or equivalent,1000014999,276576.0
2010,18 to 64,Female,High school or equivalent,1500024999,436288.0
2010,18 to 64,Female,High school or equivalent,2500034999,363540.0
2010,18 to 64,Female,High school or equivalent,3500049999,225261.0
2010,18 to 64,Female,High school or equivalent,5000074999,136694.0
2010,18 to 64,Female,High school or equivalent,75000,43721.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",,443607.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",50009999,374128.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",1000014999,386929.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",1500024999,567753.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",2500034999,491109.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",3500049999,442917.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",5000074999,321434.0
2010,18 to 64,Female,"Some college, less than 4-yr degree",75000,184398.0
2010,18 to 64,Female,Bachelor's degree or higher,,269680.0
2010,18 to 64,Female,Bachelor's degree or higher,50009999,168951.0
2010,18 to 64,Female,Bachelor's degree or higher,1000014999,133220.0
2010,18 to 64,Female,Bachelor's degree or higher,1500024999,325516.0
2010,18 to 64,Female,Bachelor's degree or higher,2500034999,305706.0
2010,18 to 64,Female,Bachelor's degree or higher,3500049999,516029.0
2010,18 to 64,Female,Bachelor's degree or higher,5000074999,687153.0
2010,18 to 64,Female,Bachelor's degree or higher,75000,755781.0
2010,65 to 80+,Male,No high school diploma,,18733.0
2010,65 to 80+,Male,No high school diploma,50009999,75130.0
2010,65 to 80+,Male,No high school diploma,1000014999,81385.0
2010,65 to 80+,Male,No high school diploma,1500024999,81088.0
2010,65 to 80+,Male,No high school diploma,2500034999,28729.0
2010,65 to 80+,Male,No high school diploma,3500049999,27814.0
2010,65 to 80+,Male,No high school diploma,5000074999,13619.0
2010,65 to 80+,Male,No high school diploma,75000,8432.0
2010,65 to 80+,Male,High school or equivalent,,24958.0
2010,65 to 80+,Male,High school or equivalent,50009999,30722.0
2010,65 to 80+,Male,High school or equivalent,1000014999,67289.0
2010,65 to 80+,Male,High school or equivalent,1500024999,79553.0
2010,65 to 80+,Male,High school or equivalent,2500034999,62167.0
2010,65 to 80+,Male,High school or equivalent,3500049999,38792.0
2010,65 to 80+,Male,High school or equivalent,5000074999,51319.0
2010,65 to 80+,Male,High school or equivalent,75000,20167.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",,9228.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",50009999,23578.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",1000014999,60002.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",1500024999,98499.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",2500034999,73522.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",3500049999,46221.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",5000074999,39453.0
2010,65 to 80+,Male,"Some college, less than 4-yr degree",75000,51157.0
2010,65 to 80+,Male,Bachelor's degree or higher,,14892.0
2010,65 to 80+,Male,Bachelor's degree or higher,50009999,28867.0
2010,65 to 80+,Male,Bachelor's degree or higher,1000014999,45842.0
2010,65 to 80+,Male,Bachelor's degree or higher,1500024999,111055.0
2010,65 to 80+,Male,Bachelor's degree or higher,2500034999,85110.0
2010,65 to 80+,Male,Bachelor's degree or higher,3500049999,64614.0
2010,65 to 80+,Male,Bachelor's degree or higher,5000074999,103469.0
2010,65 to 80+,Male,Bachelor's degree or higher,75000,192339.0
2010,65 to 80+,Female,No high school diploma,,72036.0
2010,65 to 80+,Female,No high school diploma,50009999,136110.0
2010,65 to 80+,Female,No high school diploma,1000014999,146005.0
2010,65 to 80+,Female,No high school diploma,1500024999,57098.0
2010,65 to 80+,Female,No high school diploma,2500034999,11302.0
2010,65 to 80+,Female,No high school diploma,3500049999,8907.0
2010,65 to 80+,Female,No high school diploma,5000074999,8606.0
2010,65 to 80+,Female,No high school diploma,75000,4876.0
2010,65 to 80+,Female,High school or equivalent,,38084.0
2011,00 to 17,Female,Children under 15,,
2010,65 to 80+,Female,High school or equivalent,50009999,138923.0
2010,65 to 80+,Female,High school or equivalent,1000014999,141254.0
2010,65 to 80+,Female,High school or equivalent,1500024999,138952.0
2010,65 to 80+,Female,High school or equivalent,2500034999,58847.0
2010,65 to 80+,Female,High school or equivalent,3500049999,40875.0
2010,65 to 80+,Female,High school or equivalent,5000074999,35909.0
2010,65 to 80+,Female,High school or equivalent,75000,22945.0
2010,65 to 80+,Female,"Some college, less than 4-yr degree",,25882.0
2010,65 to 80+,Female,"Some college, less than 4-yr degree",50009999,104478.0
2010,65 to 80+,Female,"Some college, less than 4-yr degree",1000014999,90675.0
